citing_patent,citing_title,citing_assignee,citing_url
US-10530758-B2,Methods of collaborative hardware and software DNS acceleration and DDOS protection,F5 NETWORKS INC,https://patents.google.com/patent/US10530758B2
US-2010306316-A1,Method for provision of an address in a data network,SCHUMACHER JOCHEN,https://patents.google.com/patent/US20100306316A1
US-7945654-B2,Agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US7945654B2
US-2010198925-A1,Email client capable of supporting near real-time communication,REBELVOX LLC,https://patents.google.com/patent/US20100198925A1
US-8458341-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8458341B2
US-7921211-B2,Agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US7921211B2
US-7769145-B2,Telephone calling interface,TECH SYSTEMS INC Q,https://patents.google.com/patent/US7769145B2
US-2013262676-A1,Apparatus and method for managing domain name system server in communication system,"SAMSUNG ELECTRONICS CO LTD, SAMSUNG ELECTRONICS CO LTD",https://patents.google.com/patent/US20130262676A1
US-8521888-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8521888B2
US-10164989-B2,Distinguishing human-driven DNS queries from machine-to-machine DNS queries,NOMINUM INC,https://patents.google.com/patent/US10164989B2
US-10187387-B2,Method for establishing connection between devices,VIRNETX INC,https://patents.google.com/patent/US10187387B2
US-2008040783-A1,Agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US20080040783A1
US-9037713-B2,Agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US9037713B2
US-2016173441-A1,Method and apparatus for allocating ip address by direct communication terminal,KOREA ELECTRONICS TELECOMM,https://patents.google.com/patent/US20160173441A1
US-10003567-B1,Systems and methods for providing DNS services,NOMINUM INC,https://patents.google.com/patent/US10003567B1
US-7933990-B2,Agile network protocol for secure communications with assured system availability,VIRNETX INC,https://patents.google.com/patent/US7933990B2
US-7359987-B2,Method and system for providing static addresses for Internet connected devices even if the underlying address is dynamic,ENOM INC,https://patents.google.com/patent/US7359987B2
US-8516131-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8516131B2
US-7987274-B2,Method for establishing secure communication link between computers of virtual private network,VIRNETX INC,https://patents.google.com/patent/US7987274B2
US-9819649-B2,System and method employing an agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US9819649B2
US-2024015099-A1,Network traffic routing in an sd-wan,CHECK POINT SOFTWARE TECH LTD,https://patents.google.com/patent/US20240015099A1
US-8554899-B2,Agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT, MUNGER EDMUND, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8554899B2
US-8688789-B2,Progressive messaging apparatus and method capable of supporting near real-time communication,"KATIS THOMAS E, PANTTAJA JAMES T, PANTTAJA MARY G, RANNEY MATTHEW R, VOXER IP LLC",https://patents.google.com/patent/US8688789B2
US-2006190623-A1,Method and system for providing static addresses for Internet connected devices even if the underlying address is dynamic,STAHURA PAUL,https://patents.google.com/patent/US20060190623A1
US-9973373-B2,Apparatus and method for managing domain name system server in communication system,"SAMSUNG ELECTRONICS CO LTD, SAMSUNG ELECTRONICS CO LTD",https://patents.google.com/patent/US9973373B2
US-7734683-B1,Method for providing a DNS server address list from a server to a client,NOKIA CORP,https://patents.google.com/patent/US7734683B1
US-8943201-B2,Method for establishing encrypted channel,"LARSON VICTOR, SHORT ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8943201B2
US-2010198988-A1,"Methods for using the addressing, protocols and the infrastructure of email to support near real-time communication",REBELVOX LLC,https://patents.google.com/patent/US20100198988A1
US-2011191582-A1,Agile Network Protocol For Secure Communications With Assured System Availability,"MUNGER EDMUND COLBY, SABIO VINCENT J, SHORT III ROBERT DUNHAM, GLIGOR VIRGIL D, SCHMIDT DOUGLAS CHARLES",https://patents.google.com/patent/US20110191582A1
US-7783780-B2,Method and system for mapping a domain name with no associated address to an address,DEMAND MEDIA INC,https://patents.google.com/patent/US7783780B2
US-2006095768-A1,Data communication method and system,"HOSHINO KAZUYOSHI, TAKEUCHI KEISUKE, TAKATA OSAMU, KAJI TADASHI, FUJISHIRO TAKAHIRO",https://patents.google.com/patent/US20060095768A1
US-9413766-B2,Method for establishing connection between devices,VIRNETX INC,https://patents.google.com/patent/US9413766B2
US-7570971-B2,Arrangement for the wireless connection of terminals to a communication system,SIEMENS AG,https://patents.google.com/patent/US7570971B2
US-8051181-B2,Method for establishing secure communication link between computers of virtual private network,VIRNETX INC,https://patents.google.com/patent/US8051181B2
US-8645477-B2,Progressive messaging apparatus and method capable of supporting near real-time communication,"KATIS THOMAS E, PANTTAJA JAMES T, PANTTAJA MARY G, RANNEY MATTHEW J, VOXER IP LLC",https://patents.google.com/patent/US8645477B2
US-2010199133-A1,"Methods for using the addressing, protocols and the infrastructure of email to support near real-time communication",REBELVOX LLC,https://patents.google.com/patent/US20100199133A1
US-8868705-B2,Agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8868705B2
US-11349937-B2,Passive management of network connections,EMC IP HOLDING CO LLC,https://patents.google.com/patent/US11349937B2
US-9374346-B2,Agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US9374346B2
US-9479426-B2,Agile network protocol for secure communications with assured system availability,"MUNGER EDMUND COLBY, SABIO VINCENT J, SHORT III ROBERT DUNHAM, GLIGOR VIRGIL D, SCHMIDT DOUGLAS CHARLES, VIRNETZ INC",https://patents.google.com/patent/US9479426B2
US-8504697-B2,System and method employing an agile network protocol for secure communications using secure domain names,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMOND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US8504697B2
US-2011185169-A1,Agile Network Protocol For Secure Communications With Assured System Availability.,"MUNGER EDMUND COLBY, SCHMIDT DOUGLAS CHARLES, SHORT III ROBERT DUNHAM, LARSON VICTOR, WILLIAMSON MICHAEL",https://patents.google.com/patent/US20110185169A1
US-2010198922-A1,"Methods for using the addressing, protocols and the infrastructure of email to support near real-time communication",REBELVOX LLC,https://patents.google.com/patent/US20100198922A1
US-2010198923-A1,"Methods for using the addressing, protocols and the infrastructure of email to support near real-time communication",REBELVOX LLC,https://patents.google.com/patent/US20100198923A1
US-8850009-B2,System and method employing an agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US8850009B2
US-8874771-B2,Agile network protocol for secure communications with assured system availability,"MUNGER EDMUND COLBY, SABIO VINCENT J, SHORT III ROBERT DUNHAM, GLIGOR VIRGIL D, VIRNETX INC",https://patents.google.com/patent/US8874771B2
US-2011238993-A1,Agile Network Protocol For Secure Communications With Assured System Availability,VIRNETX INC,https://patents.google.com/patent/US20110238993A1
US-2008040792-A1,Agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US20080040792A1
US-9870534-B1,Predicting network activities associated with a given site,NOMINUM INC,https://patents.google.com/patent/US9870534B1
US-2010106772-A1,Address updating scheme for wireless communication,QUALCOMM INC,https://patents.google.com/patent/US20100106772A1
US-2003009592-A1,Method and system for providing static addresses for Internet connected devices even if the underlying address is dynamic,Paul Stahura,https://patents.google.com/patent/US20030009592A1
US-7996539-B2,Agile network protocol for secure communications with assured system availability,VIRNETX INC,https://patents.google.com/patent/US7996539B2
US-2007288754-A1,Data communication method and system,"KAJI TADASHI, HOSHINO KAZUYOSHI, TAKEUCHI KEISUKE, TAKATA OSAMU, FUJISHIRO TAKAHIRO, YATO AKIFUMI",https://patents.google.com/patent/US20070288754A1
US-12316533-B2,Network traffic routing in an SD-WAN,CHECK POINT SOFTWARE TECH LTD,https://patents.google.com/patent/US12316533B2
US-8904516-B2,System and method employing an agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US8904516B2
US-9386000-B2,System and method for establishing a communication link,"LARSON VICTOR, SHORT III ROBERT DUNHAM, MUNGER EDMUND COLBY, WILLIAMSON MICHAEL, VIRNETX INC",https://patents.google.com/patent/US9386000B2
US-9967240-B2,Agile network protocol for secure communications using secure domain names,VIRNETX INC,https://patents.google.com/patent/US9967240B2
US-7970867-B2,Hypermedia management system,MICROSOFT CORP,https://patents.google.com/patent/US7970867B2
US-8271498-B2,Searching documents for ranges of numeric values,"FONTOURA MARCUS FELIPE, LEMPEL RONNY, QI RUNPING, ZIEN JASON YEONG, IBM",https://patents.google.com/patent/US8271498B2
US-7987172-B1,Minimizing visibility of stale content in web searching including revising web crawl intervals of documents,GOOGLE INC,https://patents.google.com/patent/US7987172B1
US-2008243880-A1,Automatic identification of components for a compound document in a content management system,IBM,https://patents.google.com/patent/US20080243880A1
US-9098600-B2,Deriving dynamic consumer defined product attributes from input queries,"CHETUPARAMBIL MADHU K, JACOB SUSHIL GEORGE T, KANNAN KALAPRIYA, IBM",https://patents.google.com/patent/US9098600B2
US-2005033621-A1,"Systems, methods, and computer program products for storing and retrieving product availability information from a storage cache",TRAVELOCITY COM LP,https://patents.google.com/patent/US20050033621A1
US-7743060-B2,Architecture for an indexer,IBM,https://patents.google.com/patent/US7743060B2
US-2006074903-A1,System and method for ranking search results using click distance,MICROSOFT CORP,https://patents.google.com/patent/US20060074903A1
US-2003050959-A1,System and method for distributed real-time search,"Yaroslav Faybishenko, Kan Gene H., Camarda Thomas J., Doolin David M., Steve Waterhouse, Cutting Douglass R.",https://patents.google.com/patent/US20030050959A1
US-2003131097-A1,Interactive path analysis,"Stephane Kasriel, Sara Swanson",https://patents.google.com/patent/US20030131097A1
US-8601004-B1,System and method for targeting information items based on popularities of the information items,"MAHADEVAN UMA, BURNIM JACOB SAMUELS, GOOGLE INC",https://patents.google.com/patent/US8601004B1
US-2014074612-A1,System and Method for Targeting Information Items Based on Popularities of the Information Items,GOOGLE INC,https://patents.google.com/patent/US20140074612A1
US-8375286-B2,Systems and methods for displaying statistical information on a web page,"ANCESTRY COM OPERATIONS INC, ALLEN PAUL, IVIE JAMES, PARKINSON GREG, THAYNE DAREN, WOLFGRAMM MICHAEL",https://patents.google.com/patent/US8375286B2
US-2011119257-A1,Method and System for Enterprise Search Navigation,ORACLE INT CORP,https://patents.google.com/patent/US20110119257A1
US-8244723-B2,Document scoring based on query analysis,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8244723B2
US-8407204-B2,Minimizing visibility of stale content in web searching including revising web crawl intervals of documents,"CARVER ANTON P T, GOOGLE INC",https://patents.google.com/patent/US8407204B2
WO-2005065400-A3,Method and system for placing advertisements based on selection of links that are not prominently displayed,"AMAZON TECH INC, SCHOLL NATHANIEL BLAKE, POWER JOANNA, DENEUI ALEXANDER W",https://patents.google.com/patent/WO2005065400A3
US-7499913-B2,Method for handling anchor text,IBM,https://patents.google.com/patent/US7499913B2
US-7599917-B2,Ranking search results using biased click distance,MICROSOFT CORP,https://patents.google.com/patent/US7599917B2
US-2009271368-A1,Search query scoring and popularity monitoring and systems and methods therefor,YAHOO INC,https://patents.google.com/patent/US20090271368A1
US-8707313-B1,Scheduler for search engine crawler,"ZHU HUICAN, IBEL MAXIMILIAN, ACHARYA ANURAG, GOBIOFF HOWARD BRADLEY, GOOGLE INC",https://patents.google.com/patent/US8707313B1
US-7599966-B2,System and method for improving online search engine results,YAHOO INC,https://patents.google.com/patent/US7599966B2
US-2006041606-A1,Indexing system for a computer file store,FUJITSU SERV LTD,https://patents.google.com/patent/US20060041606A1
US-2007124280-A1,Search Engine which awards Point per Click,TATEOSSIAN TONY,https://patents.google.com/patent/US20070124280A1
US-8234273-B2,Document scoring based on document content update,"ACHARYA ANURAG, DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8234273B2
US-7801880-B2,Crawling databases for information,MICROSOFT CORP,https://patents.google.com/patent/US7801880B2
US-8671078-B2,Sharing parts of a document using search framework,"ZIMMERMAN JOSH C, GUSTAFSON DAVID SCOTT, ZIEGLER KURT LEONARD, MICROSOFT CORP",https://patents.google.com/patent/US8671078B2
US-2013066912-A1,Deriving Dynamic Consumer Defined Product Attributes from Input Queries,"CHETUPARAMBIL MADHU K, JACOB SUSHIL GEORGE T, KANNAN KALAPRIYA, IBM",https://patents.google.com/patent/US20130066912A1
US-10713330-B2,Optimized browser render process,GOOGLE LLC,https://patents.google.com/patent/US10713330B2
US-2005278725-A1,"Service search apparatus, service search method, and service search program","KAWAMURA TAKAHIRO, HASEGAWA TETSUO",https://patents.google.com/patent/US20050278725A1
US-2008104047-A1,Intelligent search with guiding info,TRANSAXTIONS LLC,https://patents.google.com/patent/US20080104047A1
US-2003009497-A1,Community based personalization system and method,Allen Yu,https://patents.google.com/patent/US20030009497A1
US-7603616-B2,Proxy server using a statistical model,MICROSOFT CORP,https://patents.google.com/patent/US7603616B2
US-2005165838-A1,Architecture for an indexer,"Fontoura Marcus F., Andreas Neumann, Sridhar Rajagopalan, Shekita Eugene J., Zien Jason Y.",https://patents.google.com/patent/US20050165838A1
US-8185522-B2,Document scoring based on query analysis,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8185522B2
US-2006224592-A1,Crawling databases for information,MICROSOFT CORP,https://patents.google.com/patent/US20060224592A1
US-8359317-B2,Method and device for indexing resource content in computer networks,"IBM, ZHANG LING, YU SHEN",https://patents.google.com/patent/US8359317B2
US-8285842-B1,Method and apparatus for dynamically specifying location collection and computation logic,"CHEN TSUWEI, JI ZHENGRONG, GOOGLE INC",https://patents.google.com/patent/US8285842B1
US-2010241621-A1,Scheduler for Search Engine Crawler,RANDALL KEITH H,https://patents.google.com/patent/US20100241621A1
US-7099871-B2,System and method for distributed real-time search,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US7099871B2
US-8655888-B2,Searching documents for ranges of numeric values,"FONTOURA MARCUS F, LEMPEL RONNY, QI RUNPING, ZIEN JASON Y, IBM",https://patents.google.com/patent/US8655888B2
US-9779124-B2,Mobile terminal and control method thereof,LG ELECTRONICS INC,https://patents.google.com/patent/US9779124B2
US-11328114-B2,Batch-optimized render and fetch architecture,GOOGLE LLC,https://patents.google.com/patent/US11328114B2
US-2009006357-A1,Determining quality measures for web objects based on searcher behavior,"POPESCUL ALEXANDRIN, BRUNK CLIFFORD A, ZIMAK NADAV A, TSIOUTSIOULIKLIS KOSTAS",https://patents.google.com/patent/US20090006357A1
US-2005149388-A1,Method and system for placing advertisements based on selection of links that are not prominently displayed,Scholl Nathaniel B.,https://patents.google.com/patent/US20050149388A1
US-8549014-B2,Document scoring based on document content update,"ACHARYA ANURAG, DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8549014B2
US-8832085-B2,Method and system for updating a search engine,"MCKEETH JIM, ROUND ROCK RES LLC",https://patents.google.com/patent/US8832085B2
US-10284623-B2,Optimized browser rendering service,"GOOGLE INC, GOOGLE LLC",https://patents.google.com/patent/US10284623B2
US-7415460-B1,System and method to customize search engine results by picking documents,IBM,https://patents.google.com/patent/US7415460B1
US-11734276-B2,Method and apparatus for updating search cache to improve the update speed of hot content,BEIJING QIYI CENTURY SCIENCE & TECHNOLOGY CO LTD,https://patents.google.com/patent/US11734276B2
US-8745477-B1,Tool for managing online content,"O'SULLIVAN JOSEPH K, GORDON CATHY, GOOGLE INC",https://patents.google.com/patent/US8745477B1
US-9767478-B2,Document scoring based on traffic associated with a document,"LAWRENCE STEVE, GOOGLE INC",https://patents.google.com/patent/US9767478B2
US-2008243830-A1,User suggested ordering to influence search result ranking,FATDOOR INC,https://patents.google.com/patent/US20080243830A1
US-8224827-B2,Document ranking based on document classification,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8224827B2
US-2007094254-A1,Document scoring based on document inception date,GOOGLE INC,https://patents.google.com/patent/US20070094254A1
US-6934702-B2,Method and system of routing messages in a distributed search network,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US6934702B2
US-8707312-B1,Document reuse in a search engine crawler,"ZHU HUICAN, IBEL MAXIMILIAN, ACHARYA ANURAG, GOBIOFF HOWARD BRADLEY, GOOGLE INC",https://patents.google.com/patent/US8707312B1
US-7321863-B2,"Systems, methods, and computer program products for storing and retrieving product availability information from a storage cache",TRAVELOCITY COM LP,https://patents.google.com/patent/US7321863B2
US-2007022385-A1,"Software module, method and system for managing information items by bookmarking information items through activation of said items",DENISSOV MIKHAIL,https://patents.google.com/patent/US20070022385A1
US-6950821-B2,System and method for resolving distributed network search queries to information providers,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US6950821B2
US-7752200-B2,Method and system for identifying keywords for use in placing keyword-targeted advertisements,AMAZON TECH INC,https://patents.google.com/patent/US7752200B2
US-2005165781-A1,"Method, system, and program for handling anchor text","Reiner Kraft, Andreas Neumann",https://patents.google.com/patent/US20050165781A1
US-8161033-B2,Scheduler for search engine crawler,"RANDALL KEITH H, GOOGLE INC",https://patents.google.com/patent/US8161033B2
US-7647323-B2,Web-site performance analysis system and method of providing a web-site performance analysis service,DIGITAL RIVER INC,https://patents.google.com/patent/US7647323B2
US-8140589-B2,Autonomic updating of templates in a content management system,"PETRI JOHN EDWARD, IBM",https://patents.google.com/patent/US8140589B2
US-9679056-B2,Document reuse in a search engine crawler,GOOGLE INC,https://patents.google.com/patent/US9679056B2
US-2008243897-A1,Autonomic updating of templates in a content management system,PETRI JOHN EDWARD,https://patents.google.com/patent/US20080243897A1
US-2006095513-A1,Hypermedia management system,MICROSOFT CORP,https://patents.google.com/patent/US20060095513A1
US-8521749-B2,Document scoring based on document inception date,"CUTTS MATT, DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8521749B2
US-7792833-B2,Ranking search results using language types,MICROSOFT CORP,https://patents.google.com/patent/US7792833B2
US-2003050924-A1,System and method for resolving distributed network search queries to information providers,"Yaroslav Faybishenko, Kan Gene H., Camarda Thomas J., Sherif Botros, John Beatty, Cutting Douglass R.",https://patents.google.com/patent/US20030050924A1
US-7739277-B2,System and method for incorporating anchor text into ranking search results,MICROSOFT CORP,https://patents.google.com/patent/US7739277B2
US-7783626-B2,Pipelined architecture for global analysis and index building,IBM,https://patents.google.com/patent/US7783626B2
US-8843486-B2,System and method for scoping searches using index keys,"MERRIGAN CHADD CREIGHTON, PELTONEN KYLE G, MEYERZON DMITRIY, LEE DAVID J, MICROSOFT CORP",https://patents.google.com/patent/US8843486B2
US-2008065621-A1,Ambiguous entity disambiguation method,ELLIS KENNETH ALEXANDER,https://patents.google.com/patent/US20080065621A1
US-7734820-B1,Adaptive caching for a distributed file sharing system,SYMANTEC OPERATING CORP,https://patents.google.com/patent/US7734820B1
US-2007038622-A1,Method ranking search results using biased click distance,MICROSOFT CORP,https://patents.google.com/patent/US20070038622A1
US-10938952-B2,Screen reader summary with popular link(s),MICROSOFT TECHNOLOGY LICENSING LLC,https://patents.google.com/patent/US10938952B2
US-2008270484-A1,Using Network Traffic Logs for Search Enhancement,"BORKOVSKY ARKADY, COOK DOUGLAS M, LANGLOIS JEAN-MARC, POUTANEN TOMI, ZHA HONGYUAN",https://patents.google.com/patent/US20080270484A1
US-10621241-B2,Scheduler for search engine crawler,"GOOGLE INC, GOOGLE LLC",https://patents.google.com/patent/US10621241B2
US-2003055818-A1,Method and system of routing messages in a distributed search network,"Yaroslav Faybishenko, Kan Gene H., Sherif Botros, John Beatty, Cutting Douglass R.",https://patents.google.com/patent/US20030055818A1
US-8515952-B2,Systems and methods for determining document freshness,"HENZINGER MONIKA, GOOGLE INC",https://patents.google.com/patent/US8515952B2
WO-2005017801-A3,"Systems, methods, and computer program products for storing and retrieving product availability information from a storage cache","TRAVELOCITY COM LP, HARTMANN JOSHUA, CLINTON DEWITT, PALLAMREDDY KISHORE, SHTARKMAN DANIEL",https://patents.google.com/patent/WO2005017801A3
US-8577901-B2,Document scoring based on query analysis,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8577901B2
US-7228301-B2,Method for normalizing document metadata to improve search results using an alias relationship directory service,MICROSOFT CORP,https://patents.google.com/patent/US7228301B2
US-7957988-B2,"Systems, methods, and computer program products for storing and retrieving product availability information from a storage cache",TRAVELOCITY COM LP,https://patents.google.com/patent/US7957988B2
US-7765592-B2,"Changed file identification, software conflict resolution and unwanted file removal",MICROSOFT CORP,https://patents.google.com/patent/US7765592B2
US-7991762-B1,Managing URLs,GOOGLE INC,https://patents.google.com/patent/US7991762B1
US-9563705-B2,Re-ranking results in a search,WAL MART STORES INC,https://patents.google.com/patent/US9563705B2
US-8407231-B2,Document scoring based on link-based criteria,"ACHARYA ANURAG, CUTTS MATT, DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8407231B2
WO-2005077009-A3,Network traffic monitoring for search popularity analysis,"NARUS INC, CHANDRA ROHIT",https://patents.google.com/patent/WO2005077009A3
US-2011029542-A1,Document scoring based on document inception date,GOOGLE INC,https://patents.google.com/patent/US20110029542A1
US-7594011-B2,Network traffic monitoring for search popularity analysis,NARUS INC,https://patents.google.com/patent/US7594011B2
US-8423885-B1,Updating search engine document index based on calculated age of changed portions in a document,"KUPKE JOACHIM, COX JEFF, GOOGLE INC",https://patents.google.com/patent/US8423885B1
US-8296304-B2,"Method, system, and program for handling redirects in a search engine","FONTOURA MARCUS F, NEUMANN ANDREAS, QI RUNPING, SHEKITA EUGENE J, IBM",https://patents.google.com/patent/US8296304B2
US-2013117252-A1,Large-scale real-time fetch service,"GOOGLE INC, GOOGLE INC",https://patents.google.com/patent/US20130117252A1
US-9197525-B2,Systems and methods for displaying statistical information on a web page,ANCESTRY COM OPERATIONS INC,https://patents.google.com/patent/US9197525B2
US-8386459-B1,Scheduling a recrawl,"GOOGLE INC, AUERBACH DAVID B, ALPERT JESSE L",https://patents.google.com/patent/US8386459B1
US-7171415-B2,Distributed information discovery through searching selected registered information providers,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US7171415B2
US-7979427-B2,Method and system for updating a search engine,ROUND ROCK RES LLC,https://patents.google.com/patent/US7979427B2
US-8001462-B1,Updating search engine document index based on calculated age of changed portions in a document,GOOGLE INC,https://patents.google.com/patent/US8001462B1
CN-111046271-A,"Mining method and device for search, storage medium and electronic equipment",ALIBABA GROUP HOLDING LTD,https://patents.google.com/patent/CN111046271A
US-2005165800-A1,"Method, system, and program for handling redirects in a search engine","Fontoura Marcus F., Andreas Neumann, Runping Qi, Shekita Eugene J.",https://patents.google.com/patent/US20050165800A1
US-7293005-B2,Pipelined architecture for global analysis and index building,IBM,https://patents.google.com/patent/US7293005B2
US-2009204753-A1,System for refreshing cache results,YAHOO INC,https://patents.google.com/patent/US20090204753A1
US-2003088544-A1,Distributed information discovery,SUN MICROSYSTEMS INC,https://patents.google.com/patent/US20030088544A1
US-2005165718-A1,Pipelined architecture for global analysis and index building,"Fontoura Marcus F., Reiner Kraft, Leung Tony K., Mcpherson John A.Jr., Andreas Neumann, Runping Qi, Sridhar Rajagopalan, Shekita Eugene J., Zien Jason Y.",https://patents.google.com/patent/US20050165718A1
US-9830633-B2,Deriving dynamic consumer defined product attributes from input queries,IBM,https://patents.google.com/patent/US9830633B2
US-2019197069-A1,Social Media Based Content Selection System,YAHOO INC,https://patents.google.com/patent/US20190197069A1
US-8099660-B1,Tool for managing online content,"O'SULLIVAN JOSEPH K, GORDON CATHY, GOOGLE INC",https://patents.google.com/patent/US8099660B1
US-2011022605-A1,Document scoring based on link-based criteria,GOOGLE INC,https://patents.google.com/patent/US20110022605A1
US-2007094255-A1,Document scoring based on link-based criteria,GOOGLE INC,https://patents.google.com/patent/US20070094255A1
US-2005149390-A1,Method and system for generating and placing keyword-targeted advertisements,"Scholl Nathaniel B., Joanna Power, Deneui Alexander",https://patents.google.com/patent/US20050149390A1
US-2004267721-A1,Normalizing document metadata using directory services,"Dmitriy Meyerzon, Obata Kenji C.",https://patents.google.com/patent/US20040267721A1
US-8417693-B2,Enforcing native access control to indexed documents,"LEMPEL RONNY, LEYBA TODD, MCPHERSON JR JOHN A, PEREZ JUSTO LUIS, IBM",https://patents.google.com/patent/US8417693B2
US-10795883-B2,Method and system for enterprise search navigation,ORACLE INT CORP,https://patents.google.com/patent/US10795883B2
US-2005015394-A1,Method and system for updating a search engine,Mckeeth Jim,https://patents.google.com/patent/US20050015394A1
US-8332408-B1,Date-based web page annotation,"RUDARY MATTHEW R, GOOGLE INC",https://patents.google.com/patent/US8332408B1
US-7584221-B2,Field weighting in text searching,MICROSOFT CORP,https://patents.google.com/patent/US7584221B2
US-8082246-B2,System and method for ranking search results using click distance,"MEYERZON DMITRIY, ZARAGOZA HUGO, MICROSOFT CORP",https://patents.google.com/patent/US8082246B2
US-8706717-B2,Method and system for enterprise search navigation,"RAJASEKHAR CHITTA, ORACLE INT CORP",https://patents.google.com/patent/US8706717B2
US-2015234890-A1,Long-term validity of pre-computed request results,AMADEUS SAS,https://patents.google.com/patent/US20150234890A1
US-2005256848-A1,System and method for user rank search,IBM,https://patents.google.com/patent/US20050256848A1
US-8346759-B2,Searching documents for ranges of numeric values,"IBM, FONTOURA MARCUS FELIPE, LEMPEL RONNY, QI RUNPING, ZIEN JASON YEONG",https://patents.google.com/patent/US8346759B2
US-7424467-B2,Architecture for an indexer with fixed width sort and variable width sort,IBM,https://patents.google.com/patent/US7424467B2
US-7627568-B2,Method and system for updating a search engine database based on popularity of links,MICRON TECHNOLOGY INC,https://patents.google.com/patent/US7627568B2
US-2007088692-A1,Document scoring based on query analysis,GOOGLE INC,https://patents.google.com/patent/US20070088692A1
US-8639690-B2,Document scoring based on query analysis,"DEAN JEFFREY, HAAHR PAUL, HENZINGER MONIKA, LAWRENCE STEVE, PFLEGER KARL, SERCINOGLU OLCAN, TONG SIMON, GOOGLE INC",https://patents.google.com/patent/US8639690B2
US-8781888-B1,Release advertisement system,"SNYDER LUKE ARON, BETZ STEPHAN G, AMAZON TECH INC",https://patents.google.com/patent/US8781888B1
US-2006167852-A1,System and method for improving online search engine results,YAHOO INC,https://patents.google.com/patent/US20060167852A1
